title,subsection,stub,original_link
Growing Up Nimíipuu: Headmen and Leadership,Native American,/culture/leadership.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID336.html
To Sing and Dance: In the Past,Native American,/culture/sing-past.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID154.html
To Sing and Dance: In the Present,Native American,/culture/sing-present.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID306.html
Spiritual Life,Native American,/culture/spiritual-life.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID102.html
Traditional Clothing Styles and Appearance,Native American,/culture/clothing.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID138.html
Céexstem: Dice Game,Native American,/culture/ceexstem.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID304.html
Smallpox and Disease,U.S.,/culture/disease.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID95.html
Missionaries and Christianity,U.S.,/culture/missionaries.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID97.html
Fur Trade,U.S.,/culture/fur-trade.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID151.html
Treaties and the Dawes Act,U.S.,/culture/treaties.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID98.html
Treaty of 1855,U.S.,/culture/treaty-1855.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID90.html
Treaty of 1863,U.S.,/culture/treaty-1863.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID163.html
Conflict of 1877,U.S.,/culture/conflict-1877.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID99.html
Misconceptions and Misrepresentations,Expedition,/expedition/misconceptions.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID139.html
Wetxuuwíis,Expedition,/expedition/wetxuuwiis.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID143.html
Twisted Hair and Canoe Camp,Expedition,/expedition/twisted-hair.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID137.html
"""Squaw""",Expedition,/expedition/squaw.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID174.html
Broken Arm,People,/people/broken-arm.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID211.html
Ellis,People,/people/ellis.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID212.html
Old Joseph,People,/people/old-joseph.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID213.html
Joseph,People,/people/joseph.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID214.html
Lawyer,People,/people/lawyer.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID215.html
Old Looking Glass,People,/people/old-looking-glass.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID227.html
Looking Glass,People,/people/looking-glass.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID216.html
Sam Morris,People,/people/sam-morris.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID217.html
No Horns on His Head,People,/people/no-horns-on-his-head.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID218.html
Ollokot,People,/people/ollokot.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID219.html
Peo Peo Tholekt,People,/people/peo-peo-tholekt.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID220.html
Rabbit Skin Leggings,People,/people/rabbit-skin-leggings.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID221.html
"Tu hul hul'cuut'",People,/people/tu-hul-hul-cuut.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID222.html
Timothy,People,/people/timothy.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID223.html
Twisted Hair,People,/people/twisted-hair.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID224.html
White Bird,People,/people/white-bird.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID225.html
Yellow Wolf,People,/people/yellow-wolf.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID226.html
Nimíipuu Consultants and Interviewees,People,/people/consultants.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID302.html
Wetxuuwíis,People,/expedition/wetxuuwiis.html,https://www.lib.uidaho.edu/digital/L3/ShowOneObjectSiteID34ObjectID143.html
